"NumStudies","AveStudySize","ES","ci.lb","ci.ub","zval","pval","Eggers","EggersCi.lb","EggersCi.ub","EggersPval"
40,73.125,-0.456099170179546,-0.557646134579829,-0.354552205779262,-8.80319714340982,1.32972679068916e-18,0.00232000177996941,-0.00567972698849758,0.0103197305484364,0.569757102164762
60,61.1,-0.461933849635391,-0.549927373697939,-0.373940325572844,-10.2890947734035,7.89147557957521e-25,0.00135959407066194,-0.00460941953797825,0.00732860767930213,0.655285617797262
80,55.075,-0.448813673480136,-0.534420299244975,-0.363207047715297,-10.2755905624245,9.07866954916912e-25,0.000132373548075217,-0.00555116055310546,0.00581590764925589,0.963590050166234
100,50.18,-0.371536193862427,-0.537655358941604,-0.205417028783251,-4.38358547357479,1.16741814616148e-05,-0.00400396534753308,-0.0100302591409652,0.00202232844589903,0.192837358136406
120,45.8583333333333,-0.400957562643711,-0.543587370478188,-0.258327754809234,-5.50980467577042,3.59232097452561e-08,-0.00466296262818924,-0.00902306223704497,-0.000302863019333508,0.0360726289698933
140,42.2285714285714,-0.385388475545208,-0.487585045811055,-0.28319190527936,-7.39112408724177,1.45592665525749e-13,-0.00374352016138181,-0.00768678859181949,0.000199748269055874,0.0627892369246412
160,39.36875,-0.533596333921865,-0.725368231612529,-0.341824436231201,-5.45350809666821,4.93856962706669e-08,-0.00170716878244825,-0.00828095002166874,0.00486661245677225,0.610759189164425
180,37.0888888888889,-0.440137761590274,-0.560605210989371,-0.319670312191176,-7.16089005997893,8.01549142342667e-13,-0.00170118716579285,-0.00679138546022505,0.00338901112863935,0.51244426669645
200,34.755,-0.428970743490693,-0.537038813284946,-0.32090267369644,-7.7799780200001,7.25371504267112e-15,-0.00227998194695173,-0.00687279056349345,0.00231282666959,0.330566318471827
220,32.6136363636364,-0.472200611582274,-0.591573967465922,-0.352827255698625,-7.7529544623099,8.97788203460098e-15,-0.00147040357801627,-0.00631184012846542,0.00337103297243289,0.551666302300486
233,31.2575107296137,-0.461015594971672,-0.570934042961337,-0.351097146982007,-8.22040320784678,2.02820122463868e-16,-0.00154618293474125,-0.00612720803728812,0.00303484216780563,0.508275654616575
