"function_order","function_name","N_groups","N_measures","N_PKU","current_phe","N_control","combined_es","es_ci_upper","es_ci_lower","z_value","p_value","heterogeneity_q_value","heterogeneity_df","heterogeneity_p_value","heterogeneity_i_value","heterogeneity_tau_value","Phe_coefficient","Phe_model_AIC_diff","Phe_model_p_value"
1,Flexibility,13,34,386,978.4512820512821,343,-0.5068605716740437,-0.16469586935187336,-0.8490252739962141,-2.9033633771175222,0.003691780096606708,74.76244715332744,33,4.435312172094513e-5,0.5586019284210754,0.15128124442219343,-7.828391797460123e-4,1.0479919947486707,0.08083703139514732
2,Reasoning,4,6,90,825.25,89,-1.0183534100232836,-0.33361251577113693,-1.7030943042754303,-2.914877764616479,0.0035582787926617806,13.294427516717032,5,0.02077047397256356,0.6239025716817993,0.4418861722358811,0.0081085374673971,1.0770886711942822,0.07940254010807328
3,Inhibition,10,18,166,1006.4227478991596,193,-0.12867320037653038,0.13212340937645609,-0.38946981012951687,-0.9670173195593746,0.3335353755899583,27.21427643316509,17,0.05499917276578439,0.37532787095222225,0.0704582939427051,-2.6626088033048654e-5,-1.3132294015067245,0.40726499673431243
4,Sustained attention,8,11,225,953.25,208,-0.6494564550598265,-0.42840140318104947,-0.8705115069386036,-5.758345039507894,8.494259309945879e-9,13.186837947617828,10,0.21341233370816348,0.2416680905822098,0.03652638259472639,-8.555071928294247e-4,1.337581951787179,0.06771405136854333
5,Higher language skills,1,15,37,746.8666666666667,32,-0.34056674515560076,-0.09034867359381832,-0.5907848167173833,-2.6676672498940324,0.007637986271739946,34.22394221988426,14,0.001912529742746271,0.5909296506506506,0.1341243819546397,0.01849851357340528,0.8574797583876759,0.09094989439326132
10,Verbal STM/WM,7,11,291,902.9,247,-0.3082245131457385,-0.060751694846284676,-0.5556973314451923,-2.4411123171799796,0.014642100074909908,12.51285705741284,10,0.25219723087757573,0.20082200618796153,0.026999415619680868,2.1990214433279188e-4,-1.7411444872815238,0.6109075252462328
10,Verbal STM/WM-w/o WM,4,5,221,879.375,137,-0.240519596206049,0.22912601317527104,-0.7101652055873691,-1.0037563148114523,0.3154960856049518,5.864875306471799,4,0.2094692870327833,0.3179735644872001,0.05689641033469136,0.001928447178654161,-0.4652431700668167,0.21539993090907583
12,Visual STM,7,9,167,889.1607142857143,182,-0.5995507283136162,0.029566474222601946,-1.2286679308498343,-1.8678520149539168,0.061782700923860824,28.158628487428604,8,4.450075290345399e-4,0.7158952537915121,0.23450584542810424,-4.33556436533626e-4,-0.027666249689755062,0.16020036528424736
11,Verbal learning/LTM,7,15,262,935.5164835164835,201,-0.27579927622692957,0.024401110961708383,-0.5759996634155675,-1.8006527354254358,0.07175763162713483,17.61075576627164,14,0.2250879237446426,0.20503127828204906,0.034582590777293365,-8.633252008853168e-4,1.7037259196807746,0.05429110558829271
13,Visual learning/LTM,7,9,146,953.9795918367347,135,-0.49278300446201195,-0.2313952791474666,-0.7541707297765573,-3.695035563650618,2.198560120963179e-4,10.64513299704904,8,0.22262824497605493,0.24848285106276288,0.05725898147733128,-0.001966067763475362,0.6302251046465948,0.1048468477272712
14,Visuo-spatial skills,5,11,103,957.38,129,-0.17993010573546317,-0.017898634041945916,-0.3419615774289804,-2.1764693197568548,0.029520185357284786,6.4669004524131,10,0.7746307229893994,-0.5463358487710349,0,-,-,-
15,Simple RT: Visuo-spatial,4,4,133,965.75,126,-0.3053221875965209,0.06419792214560621,-0.6748422973386481,-1.6194531111927197,0.10534980731919955,6.376528248191693,3,0.09466119920259362,0.5295245495304183,0.23187502707095187,-0.002924931870302062,2.2450343033793114,0.03936527444755793
16,Visual spatial attention RT,4,10,138,937.25,121,-0.8031909605838741,-0.5873129526424563,-1.0190689685252918,-7.292198823141433,3.049366944595474e-13,8.371248096086626,9,0.497209066722422,-0.0751085019457614,0,-9.214163269640307e-4,0.19709306157605155,0.138271274834333
17,Visuo-spatial attention: accuracy,3,9,113,805.6666666666666,106,-0.05844328053861897,0.10351333189611131,-0.22039989297334925,-0.7072679730210275,0.47939996439841226,3.9284145289110115,8,0.8635236739037007,-1.0364449680970063,0,-4.425913796273938e-4,-2.048531992202527,1
18,Visuo motor control,6,16,235,857,191,-0.5254739559918346,-0.26256311652077646,-0.7883847954628926,-3.9173357425271016,8.953301192951159e-5,50.693217736430505,15,9.271934640205421e-6,0.704102428889214,0.1679030528661783,0.0016422826127854592,0.8242985654446677,0.09284744781810406
6,Naming RT,3,7,54,1025.4,60,-0.4490956654514023,0.07744824508438414,-0.9756395759871888,-1.6716769718258362,0.09458803746982045,13.487594912286854,6,0.03591422725323628,0.5551467819860045,0.14686988427362968,0.0015370031062469413,0.7839339895729349,0.09521403101868817
7,Language accuracy,2,8,56,810.1666666666667,57,-0.10591799891876948,0.09441702047392232,-0.3062530183114613,-1.0362415109682694,0.3000894852211037,1.198549028487401,7,0.9909602677186395,-4.840395205888388,0,-,-,-
8,Spelling,1,2,37,720,30,0.0059541052770671465,0.3396906870179896,-0.32778247646385533,0.03496719431336029,0.972105900013002,0.9450190684923095,1,0.33099039955354315,-0.05817970593483084,0,-,-,-
9,Phonological tasks,1,2,37,720,30,-0.45380888634030003,0.03512048441135629,-0.9427382570919564,-1.819177014716508,0.06888442837328405,0.20504944542950426,1,0.6506755832953863,-3.8768724924145137,0,-,-,-
19,Social cognition,4,16,98,859.5,122,-0.4241934122877006,-0.18583275184440104,-0.6625540727310001,-3.4880076645903366,4.866341287835891e-4,16.87962075933172,15,0.32611149920224575,0.11135444250384537,0.008664145690520835,-4.305180660485691e-4,-0.42984334595925233,0.21018426520645875
20,IQ,16,19,407,964.4708333333333,439,-0.6011550763302561,-0.41742202434085807,-0.7848881283196542,-6.412794464431567,1.428760915803472e-10,26.79882042016134,18,0.08284694388012347,0.3283286458959886,0.05219871314967243,-2.234972561215634e-4,-1.6471575293337786,0.5525084700297641
