"","term","type","estimate","std.error","statistic","p.value"
"1","intercept","summary",-0.425711129718594,0.132055850107622,-3.22372033780897,0.00126536909894734
"2","FunctionGroupHigher Language Skills","summary",3.22664251324964,0.873846287867142,3.69246005624757,0.000222095231990226
"3","FunctionGroupInhibition","summary",0.339093871475229,0.176234319240426,1.92410804511137,0.0543410418800078
"4","FunctionGroupLanguage Accuracy","summary",0.866546420900124,0.262910851552168,3.29597053824224,0.000980823004985356
"5","FunctionGroupReasoning ","summary",-0.188197990773094,0.252806169615892,-0.744435909372931,0.456612801281197
"6","FunctionGroupSpelling","summary",0.503313621294087,0.206260493254323,2.44018431912452,0.0146797697861494
"7","FunctionGroupSustained attention","summary",-0.26034616501759,0.193653470011537,-1.34439194403323,0.178821677499266
"8","CentredPhe","summary",-0.000788165129382597,0.000478853373969486,-1.64594252066985,0.0997755935663683
"9","FunctionGroupHigher Language Skills:CentredPhe","summary",0.0260086857155934,0.00783551185506678,3.31933461357411,0.00090232236112542
"10","FunctionGroupInhibition:CentredPhe","summary",-0.000565925063273522,0.00129057811139173,-0.438505084100058,0.661020185470448
"11","FunctionGroupLanguage Accuracy:CentredPhe","summary",0.00399769386431302,0.00225298055395211,1.77440229446294,0.0759966306122604
"12","FunctionGroupReasoning :CentredPhe","summary",0.01006112916688,0.00494802735313562,2.03336167099079,0.0420159967427031
"13","FunctionGroupSustained attention:CentredPhe","summary",-0.000954757118208727,0.000880682302283556,-1.08411071249314,0.278315713651719
